Company,Date,Open,High,Low,Close,Adj Close,Volume
Tesla,2010-06-29 00:00:00,19.0,25.0,17.540001,23.889999,23.889999,18766300
Tesla,2010-06-30 00:00:00,25.790001,30.42,23.299999,23.83,23.83,17187100
Tesla,2010-07-01 00:00:00,25.0,25.92,20.27,21.959999,21.959999,8218800
Tesla,2010-07-02 00:00:00,23.0,23.1,18.709999,19.200001,19.200001,5139800
Tesla,2010-07-06 00:00:00,20.0,20.0,15.83,16.110001,16.110001,6866900
Tesla,2010-07-07 00:00:00,16.4,16.629999,14.98,15.8,15.8,6921700
Tesla,2010-07-08 00:00:00,16.139999,17.52,15.57,17.459999,17.459999,7711400
Tesla,2010-07-09 00:00:00,17.58,17.9,16.549999,17.4,17.4,4050600
Tesla,2010-07-12 00:00:00,17.950001,18.07,17.0,17.049999,17.049999,2202500
Tesla,2010-07-13 00:00:00,17.389999,18.639999,16.9,18.139999,18.139999,2680100
Tesla,2010-07-14 00:00:00,17.940001,20.15,17.76,19.84,19.84,4195200
Tesla,2010-07-15 00:00:00,19.940001,21.5,19.0,19.889999,19.889999,3739800
Tesla,2010-07-16 00:00:00,20.700001,21.299999,20.049999,20.639999,20.639999,2621300
Tesla,2010-07-19 00:00:00,21.370001,22.25,20.92,21.91,21.91,2486500
Tesla,2010-07-20 00:00:00,21.85,21.85,20.049999,20.299999,20.299999,1825300
Tesla,2010-07-21 00:00:00,20.66,20.9,19.5,20.219999,20.219999,1252500
Tesla,2010-07-22 00:00:00,20.5,21.25,20.370001,21.0,21.0,957800
Tesla,2010-07-23 00:00:00,21.190001,21.559999,21.059999,21.290001,21.290001,653600
Tesla,2010-07-26 00:00:00,21.5,21.5,20.299999,20.950001,20.950001,922200
Tesla,2010-07-27 00:00:00,20.91,21.18,20.26,20.549999,20.549999,619700
Tesla,2010-07-28 00:00:00,20.549999,20.9,20.51,20.719999,20.719999,467200
Tesla,2010-07-29 00:00:00,20.77,20.879999,20.0,20.35,20.35,616000
Tesla,2010-07-30 00:00:00,20.200001,20.440001,19.549999,19.940001,19.940001,426900
Tesla,2010-08-02 00:00:00,20.5,20.969999,20.33,20.92,20.92,718100
Tesla,2010-08-03 00:00:00,21.0,21.950001,20.82,21.950001,21.950001,1230500
Tesla,2010-08-04 00:00:00,21.950001,22.18,20.85,21.26,21.26,913000
Tesla,2010-08-05 00:00:00,21.540001,21.549999,20.049999,20.450001,20.450001,796200
Tesla,2010-08-06 00:00:00,20.1,20.16,19.52,19.59,19.59,741900
Tesla,2010-08-09 00:00:00,19.9,19.98,19.450001,19.6,19.6,812700
